Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Belgium,BEL,..,..,0.1,0.2,0.2,0.2,0.2,0.1,0.1,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Benin,BEN,..,..,..,..,57.7,..,..,..,59.2,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Bhutan,BTN,..,..,..,..,..,14.4,..,..,..,..,12.1,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Bolivia,BOL,19.6,36.3,16,..,12.3,13,11.4,10.6,10.7,11.2,10.4,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Bosnia and Herzegovina,BIH,..,..,..,..,0.9,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Botswana,BWA,..,..,28.7,..,..,..,..,..,29.4,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Brazil,BRA,30.7,..,11.2,..,9.6,8,7.7,6.5,7.3,8.4,8.7,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Bulgaria,BGR,..,..,2.8,3.8,4.4,4.3,4.3,3.4,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Burkina Faso,BFA,..,..,61,..,..,..,..,54.9,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Burundi,BDI,..,..,..,..,..,..,69.3,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Cameroon,CMR,..,..,..,..,..,..,..,35,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Canada,CAN,..,0.4,..,0.3,..,..,0.5,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Chad,TCD,..,..,..,..,50.6,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Chile,CHL,19.2,11.5,6.9,..,5.2,..,3,..,3.3,..,2,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,China,CHN,67.3,..,..,23.1,19.8,17.3,11.7,9.7,7.8,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Colombia,COL,..,27.3,17.7,16,14.2,13.7,12.7,11.7,11,10.9,10.2,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Comoros,COM,..,..,..,..,..,..,30.5,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Congo, Dem. Rep.",COD,..,..,..,..,..,73.4,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Congo, Rep.",COG,..,..,..,..,47.6,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Costa Rica,CRI,17.3,12.5,5.3,4.3,4.4,4.1,4.1,3.9,3.9,3.6,3.1,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,43.6,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Croatia,HRV,..,..,1.8,2.3,2.2,2.4,2.4,2.1,1.6,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Cyprus,CYP,..,..,0.1,0,0,0,0.1,0.1,0,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Czech Republic,CZE,..,..,0.1,0.2,0.1,0.2,0.1,0.1,0,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Denmark,DNK,..,..,0.5,0.1,0.1,0,0.3,0.2,0.2,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Djibouti,DJI,..,..,..,..,..,32.6,36.3,..,..,..,32.5,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Dominican Republic,DOM,..,11.6,11.2,11,10.4,10.5,9.9,8.2,6.9,6.3,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Ecuador,ECU,..,39.5,15.4,13.2,11.3,10.5,9.4,8.2,8.8,8.7,8.2,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Egypt, Arab Rep.",EGY,30.8,..,..,25.2,..,23.2,..,..,18.5,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,El Salvador,SLV,..,20.5,16.2,15.7,14.9,13.5,12,11.7,10,10.1,8.8,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Estonia,EST,..,..,1.1,1.6,1.6,1.4,1.6,1.4,0.9,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Eswatini,SWZ,..,53.7,49.7,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Ethiopia,ETH,..,..,..,52.2,..,..,..,..,45.4,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Fiji,FJI,..,..,..,..,..,..,14.9,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Finland,FIN,..,..,0,0,0,0.1,0.1,0,0.1,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,France,FRA,..,..,0.1,0.1,0.1,0.1,0.1,0,0.2,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,10.8,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Gambia, The",GMB,..,..,..,41,..,..,..,..,30.1,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Georgia,GEO,..,35.5,24.9,26,24.8,22,18.8,16.5,15.5,15.1,15.5,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Germany,DEU,..,0.1,0.1,0.1,0,..,0,..,0.1,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Ghana,GHA,..,..,..,..,..,26.2,..,..,..,25.4,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Greece,GRC,..,..,0.7,1.3,2,2.6,2.5,2.8,2.8,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Guatemala,GTM,..,19,..,..,..,..,..,20.4,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Guinea,GIN,..,..,..,..,..,51.7,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Guinea-Bissau,GNB,..,..,..,66.4,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Haiti,HTI,..,..,..,..,..,39.8,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Honduras,HND,51.3,..,22.2,23.9,26.1,29.2,27,25.8,26.1,24.6,25.9,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Hungary,HUN,..,..,0.3,0.4,0.5,1.1,0.9,1.2,1.1,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Iceland,ISL,..,..,0.1,0.2,0.2,0.1,0,0,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,India,IND,..,..,49.6,..,43.5,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Indonesia,IDN,63.2,55.9,40.3,36,33.8,32.8,30.9,29.1,27,24.8,22.7,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Iran, Islamic Rep.",IRN,16.2,..,4,..,..,..,1.9,2.8,2.9,3,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Iraq,IRQ,..,..,..,..,..,18.4,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Ireland,IRL,..,..,0.6,0.7,0.7,0.5,0.8,0.5,0.4,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Israel,ISR,..,..,..,1.1,..,1.3,..,1,..,0.8,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Italy,ITA,..,..,1.1,1.5,1.4,1.6,1.8,1.6,2.3,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Jamaica,JAM,18.2,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Jordan,JOR,..,..,..,3.8,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Kazakhstan,KAZ,..,..,4.7,3.5,1.6,1.5,0.9,1,1.2,2.1,1.3,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Kenya,KEN,..,..,..,..,..,..,..,..,49.2,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Korea, Rep.",KOR,..,..,..,0.7,..,0.5,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Kosovo,XKX,..,..,13.8,13.9,11,7,5.1,6.2,4.7,4.7,4.7,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Kyrgyz Republic,KGZ,..,55.3,20.7,22.7,21.4,22.6,24.3,21,23.2,20.9,20.9,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Lao PDR,LAO,..,..,..,..,..,42.9,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Latvia,LVA,..,..,3.6,3.6,2.9,2.7,2.4,2,1.5,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Lebanon,LBN,..,..,..,..,0.3,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Lesotho,LSO,..,..,..,63.3,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Liberia,LBR,..,..,..,..,..,..,..,53.8,..,53.9,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Lithuania,LTU,..,..,3.8,3.2,1.8,2,1.9,2.3,1.6,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Luxembourg,LUX,..,..,0.1,0,0.1,0.1,0.1,0.2,0.3,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Madagascar,MDG,..,..,..,73.4,..,73.4,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Malawi,MWI,..,..,..,70.3,..,..,..,..,..,68.9,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Malaysia,MYS,..,..,..,..,2,..,0.8,..,0.5,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Maldives,MDV,..,..,21,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Mali,MLI,..,..,58.3,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Malta,MLT,..,..,0.5,0.2,0.3,0.2,0.1,0,0.1,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Mauritania,MRT,..,35.4,..,..,..,..,..,21.6,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Mauritius,MUS,..,..,..,..,..,4.4,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Mexico,MEX,..,18.8,..,13,..,12.6,..,13.8,..,11.2,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,31.6,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Moldova,MDA,..,50.8,9,7.3,6,5.5,4,3.5,3,3,3,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Mongolia,MNG,..,..,..,11.1,8.9,6.1,..,4.5,..,8.4,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Montenegro,MNE,..,..,1.3,0.8,1.4,2.7,2.4,1.1,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Morocco,MAR,17.2,23.2,..,..,..,..,8.8,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Mozambique,MOZ,..,..,..,..,..,..,..,63.5,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Myanmar,MMR,..,..,..,..,..,..,..,..,25.7,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Namibia,NAM,..,..,35.4,..,..,..,..,..,23.7,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Nepal,NPL,..,..,..,38.5,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Netherlands,NLD,..,..,0.2,0.1,0.1,0.1,0.1,0.1,0.1,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Nicaragua,NIC,..,..,19.4,..,..,..,..,12.1,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Niger,NER,..,..,..,..,59.5,..,..,55.9,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Nigeria,NGA,..,..,59.6,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,North Macedonia,MKD,..,..,15.8,15.5,13.8,12.4,10.7,9.3,9,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Norway,NOR,..,..,0.1,0.1,0.1,0.2,0.2,0.1,0.2,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Pakistan,PAK,63.9,..,..,36.3,35.4,..,32,..,28.8,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Panama,PAN,..,17.9,8.6,9,7.4,8,7,7.1,5.9,5.8,5.6,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Papua New Guinea,PNG,..,..,50.2,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Paraguay,PRY,5.4,..,12.6,11.8,11.2,8.9,6.6,7,6.7,6.7,5.8,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Peru,PER,..,25.4,14.6,12.5,11.6,10.6,10,9.4,9.1,9,8.9,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Philippines,PHL,..,32.7,28.9,..,..,29.8,..,..,26,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Poland,POL,..,2.4,0.9,0.9,0.9,0.8,0.8,0.8,0.6,0.3,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Portugal,PRT,..,..,0.5,0.6,0.9,1.5,1.7,1.3,1.1,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Romania,ROU,..,..,9.4,10.6,12.3,12.7,13.4,12.6,11,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Russian Federation,RUS,..,10.2,1,0.8,0.7,0.6,0.5,0.5,0.5,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Rwanda,RWA,..,72.5,..,63.7,..,..,60.9,..,..,59.9,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Samoa,WSM,..,..,..,..,..,..,9.8,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Sao Tome and Principe,STP,..,47.4,..,50.7,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Senegal,SEN,..,..,..,..,50.5,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Serbia,SRB,..,..,2.2,2.8,..,..,2.8,..,1.6,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Seychelles,SYC,..,..,..,..,..,..,2.4,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Sierra Leone,SLE,..,..,..,..,59.6,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Slovak Republic,SVK,..,..,0.9,0.9,0.8,0.9,1,1.4,1,..,..,..
